"item","detail"
"http://www.wikidata.org/entity/Q264193","Lille"
"http://www.wikidata.org/entity/Q276675","Ham"
"http://www.wikidata.org/entity/Q323843","Antwerp"
"http://www.wikidata.org/entity/Q334914","Essex"
"http://www.wikidata.org/entity/Q362016","Siena"
"http://www.wikidata.org/entity/Q297565","Vignola"
"http://www.wikidata.org/entity/Q259538","Philadelphia"
"http://www.wikidata.org/entity/Q360466","London"
"http://www.wikidata.org/entity/Q361396","London"
"http://www.wikidata.org/entity/Q294326","Bristol"
"http://www.wikidata.org/entity/Q334001","Bolton"
"http://www.wikidata.org/entity/Q447730","Parma"
"http://www.wikidata.org/entity/Q320821","Biała Podlaska"
"http://www.wikidata.org/entity/Q468816","Mexico City"
"http://www.wikidata.org/entity/Q459665","Antwerp"
"http://www.wikidata.org/entity/Q462364","Metz"
"http://www.wikidata.org/entity/Q314275","Leuven"
"http://www.wikidata.org/entity/Q325945","Stockholm"
"http://www.wikidata.org/entity/Q367973","Nice"
"http://www.wikidata.org/entity/Q396418","Aachen"
"http://www.wikidata.org/entity/Q389912","Memphis"
"http://www.wikidata.org/entity/Q312617","Florence"
"http://www.wikidata.org/entity/Q364658","Birmingham"
"http://www.wikidata.org/entity/Q324318","Chrastava"
"http://www.wikidata.org/entity/Q394503","Budapest"
"http://www.wikidata.org/entity/Q368546","Venice"
"http://www.wikidata.org/entity/Q318886","Munich"
"http://www.wikidata.org/entity/Q463978","Berlin"
"http://www.wikidata.org/entity/Q381728","Liverpool"
"http://www.wikidata.org/entity/Q375783","Lyon"
"http://www.wikidata.org/entity/Q330270","Nancy"
"http://www.wikidata.org/entity/Q464044","Brooklyn"
"http://www.wikidata.org/entity/Q358612","Nancy"
"http://www.wikidata.org/entity/Q462404","Gloucester"
"http://www.wikidata.org/entity/Q275610","Macklin"
"http://www.wikidata.org/entity/Q440053","Lyon"
"http://www.wikidata.org/entity/Q271676","Paris"
"http://www.wikidata.org/entity/Q454650","Hamburg"
"http://www.wikidata.org/entity/Q289626","Paris"
"http://www.wikidata.org/entity/Q289759","Paris"
"http://www.wikidata.org/entity/Q322341","Paris"
"http://www.wikidata.org/entity/Q326606","Paris"
"http://www.wikidata.org/entity/Q331871","Paris"
