"item","detail"
"http://www.wikidata.org/entity/Q468816","1942-05-16T00:00:00Z"
"http://www.wikidata.org/entity/Q470423","1922-12-31T00:00:00Z"
"http://www.wikidata.org/entity/Q469449","1921-09-03T00:00:00Z"
"http://www.wikidata.org/entity/Q472025","1639-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q472025","1637-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q465342","1902-12-08T00:00:00Z"
"http://www.wikidata.org/entity/Q471764","1889-04-15T00:00:00Z"
"http://www.wikidata.org/entity/Q464044","1877-09-10T00:00:00Z"
"http://www.wikidata.org/entity/Q463978","1877-02-19T00:00:00Z"
"http://www.wikidata.org/entity/Q465618","1870-06-10T00:00:00Z"
"http://www.wikidata.org/entity/Q463504","1705-09-07T00:00:00Z"
"http://www.wikidata.org/entity/Q447568","1970-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q322341","1694-05-07T00:00:00Z"
"http://www.wikidata.org/entity/Q294326","1965-06-07T00:00:00Z"
"http://www.wikidata.org/entity/Q364184","1828-07-09T00:00:00Z"
"http://www.wikidata.org/entity/Q458671","1688-07-19T00:00:00Z"
"http://www.wikidata.org/entity/Q309733","1548-09-12T00:00:00Z"
"http://www.wikidata.org/entity/Q445433","1684-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q460639","1820-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q334914","1683-03-24T00:00:00Z"
"http://www.wikidata.org/entity/Q368546","1410-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q349872","1813-07-11T00:00:00Z"
"http://www.wikidata.org/entity/Q325945","1948-02-15T00:00:00Z"
"http://www.wikidata.org/entity/Q312786","1946-11-04T00:00:00Z"
"http://www.wikidata.org/entity/Q396418","1810-08-22T00:00:00Z"
"http://www.wikidata.org/entity/Q318886","1806-01-13T00:00:00Z"
"http://www.wikidata.org/entity/Q318886","1806-01-11T00:00:00Z"
"http://www.wikidata.org/entity/Q318886","1806-01-01T00:00:00Z"
"http://www.wikidata.org/entity/Q462404","1804-12-19T00:00:00Z"
"http://www.wikidata.org/entity/Q459681","1940-05-17T00:00:00Z"
"http://www.wikidata.org/entity/Q299662","1939-10-12T00:00:00Z"
"http://www.wikidata.org/entity/Q389912","1939-07-27T00:00:00Z"
