"item","detail"
"http://www.wikidata.org/entity/Q130039","Netherlands"
"http://www.wikidata.org/entity/Q108301","France"
"http://www.wikidata.org/entity/Q134741","France"
"http://www.wikidata.org/entity/Q166379","Netherlands"
"http://www.wikidata.org/entity/Q147144","France"
"http://www.wikidata.org/entity/Q148458","France"
"http://www.wikidata.org/entity/Q154599","France"
"http://www.wikidata.org/entity/Q156567","France"
"http://www.wikidata.org/entity/Q157321","France"
"http://www.wikidata.org/entity/Q180932","France"
"http://www.wikidata.org/entity/Q182791","France"
"http://www.wikidata.org/entity/Q70893","Denmark"
"http://www.wikidata.org/entity/Q134741","Denmark"
"http://www.wikidata.org/entity/Q180374","Canada"
"http://www.wikidata.org/entity/Q143595","Southern Netherlands"
"http://www.wikidata.org/entity/Q152233","Russian Empire"
"http://www.wikidata.org/entity/Q160149","Russian Empire"
"http://www.wikidata.org/entity/Q134942","United Kingdom"
"http://www.wikidata.org/entity/Q154340","United Kingdom"
"http://www.wikidata.org/entity/Q147144","Republic of China"
"http://www.wikidata.org/entity/Q134942","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q186748","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q5580","Duchy of Bavaria"
"http://www.wikidata.org/entity/Q5571","Republic of Florence"
"http://www.wikidata.org/entity/Q8511","Republic of Florence"
"http://www.wikidata.org/entity/Q37562","Republic of Florence"
"http://www.wikidata.org/entity/Q90471","Holy Roman Empire"
"http://www.wikidata.org/entity/Q117856","United States of America"
"http://www.wikidata.org/entity/Q132305","United States of America"
"http://www.wikidata.org/entity/Q155626","United States of America"
"http://www.wikidata.org/entity/Q160149","United States of America"
"http://www.wikidata.org/entity/Q164358","United States of America"
"http://www.wikidata.org/entity/Q170071","United States of America"
"http://www.wikidata.org/entity/Q180374","United States of America"
"http://www.wikidata.org/entity/Q87063","Cisleithania"
"http://www.wikidata.org/entity/Q154340","Republic of Ireland"
"http://www.wikidata.org/entity/Q152233","Soviet Union"
"http://www.wikidata.org/entity/Q67053","Weimar Republic"
"http://www.wikidata.org/entity/Q131018","Kingdom of France"
"http://www.wikidata.org/entity/Q154782","Kingdom of France"
"http://www.wikidata.org/entity/Q96825","German Democratic Republic"
"http://www.wikidata.org/entity/Q67036","Kingdom of Prussia"
"http://www.wikidata.org/entity/Q69651","Kingdom of Prussia"
"http://www.wikidata.org/entity/Q154782","Kingdom of Prussia"
"http://www.wikidata.org/entity/Q161048","Kingdom of Bavaria"
"http://www.wikidata.org/entity/Q167654","Dutch Republic"
"http://www.wikidata.org/entity/Q76483","Austria-Hungary"
"http://www.wikidata.org/entity/Q79759","Kingdom of England"
"http://www.wikidata.org/entity/Q25942","Germany"
"http://www.wikidata.org/entity/Q25973","Germany"
"http://www.wikidata.org/entity/Q45006","Germany"
"http://www.wikidata.org/entity/Q57386","Germany"
"http://www.wikidata.org/entity/Q61649","Germany"
"http://www.wikidata.org/entity/Q63206","Germany"
"http://www.wikidata.org/entity/Q25942","Austria"
"http://www.wikidata.org/entity/Q54022","Polish–Lithuanian Commonwealth"
"http://www.wikidata.org/entity/Q44032","Austria"
"http://www.wikidata.org/entity/Q25973","Switzerland"
"http://www.wikidata.org/entity/Q297","Spain"
"http://www.wikidata.org/entity/Q9348","Italy"
"http://www.wikidata.org/entity/Q25973","German Empire"
"http://www.wikidata.org/entity/Q132305","Kingdom of the Netherlands"
"http://www.wikidata.org/entity/Q5233","France"
"http://www.wikidata.org/entity/Q49752","France"
"http://www.wikidata.org/entity/Q54022","France"
"http://www.wikidata.org/entity/Q176694","Habsburg Netherlands"
"http://www.wikidata.org/entity/Q25973","Russian Empire"
"http://www.wikidata.org/entity/Q5594","Kingdom of Sicily"
"http://www.wikidata.org/entity/Q164823","Republic of Florence"
"http://www.wikidata.org/entity/Q16867","United States of America"
"http://www.wikidata.org/entity/Q60809","United States of America"
"http://www.wikidata.org/entity/Q15975","Kingdom of France"
"http://www.wikidata.org/entity/Q57386","Weimar Republic"
"http://www.wikidata.org/entity/Q8511","Duchy of Florence"
"http://www.wikidata.org/entity/Q90471","Erfurter Staat"
"http://www.wikidata.org/entity/Q64434","Kingdom of Prussia"
"http://www.wikidata.org/entity/Q60163","Kingdom of Bavaria"
"http://www.wikidata.org/entity/Q44032","Austria-Hungary"
"http://www.wikidata.org/entity/Q499934","Germany"
"http://www.wikidata.org/entity/Q556102","Germany"
"http://www.wikidata.org/entity/Q561184","Germany"
"http://www.wikidata.org/entity/Q573224","Germany"
"http://www.wikidata.org/entity/Q562540","Wales"
"http://www.wikidata.org/entity/Q639413","Germany"
"http://www.wikidata.org/entity/Q655484","Germany"
"http://www.wikidata.org/entity/Q657043","Germany"
"http://www.wikidata.org/entity/Q670135","Germany"
"http://www.wikidata.org/entity/Q671883","Belgium"
"http://www.wikidata.org/entity/Q477409","Switzerland"
"http://www.wikidata.org/entity/Q677071","Germany"
"http://www.wikidata.org/entity/Q563515","Austria"
"http://www.wikidata.org/entity/Q700094","Germany"
"http://www.wikidata.org/entity/Q702272","Germany"
"http://www.wikidata.org/entity/Q703331","Germany"
"http://www.wikidata.org/entity/Q570251","Austria"
"http://www.wikidata.org/entity/Q606053","Austria"
"http://www.wikidata.org/entity/Q568809","Switzerland"
"http://www.wikidata.org/entity/Q474934","Spanish Netherlands"
"http://www.wikidata.org/entity/Q724401","Estonia"
"http://www.wikidata.org/entity/Q687059","Austria"
"http://www.wikidata.org/entity/Q695289","Austria"
"http://www.wikidata.org/entity/Q528511","Spain"
"http://www.wikidata.org/entity/Q677071","Switzerland"
"http://www.wikidata.org/entity/Q537652","Spain"
"http://www.wikidata.org/entity/Q681448","Switzerland"
"http://www.wikidata.org/entity/Q520573","Italy"
"http://www.wikidata.org/entity/Q569638","Italy"
"http://www.wikidata.org/entity/Q569638","Kingdom of Italy"
"http://www.wikidata.org/entity/Q569369","Hungary"
"http://www.wikidata.org/entity/Q627132","Spain"
"http://www.wikidata.org/entity/Q732537","Spain"
"http://www.wikidata.org/entity/Q539036","Netherlands"
"http://www.wikidata.org/entity/Q533859","France"
"http://www.wikidata.org/entity/Q703369","German Reich"
"http://www.wikidata.org/entity/Q537652","France"
"http://www.wikidata.org/entity/Q544646","France"
"http://www.wikidata.org/entity/Q545445","France"
"http://www.wikidata.org/entity/Q548205","France"
"http://www.wikidata.org/entity/Q577044","Netherlands"
"http://www.wikidata.org/entity/Q551132","France"
"http://www.wikidata.org/entity/Q585067","France"
"http://www.wikidata.org/entity/Q585926","France"
"http://www.wikidata.org/entity/Q655535","Netherlands"
"http://www.wikidata.org/entity/Q633574","France"
"http://www.wikidata.org/entity/Q663613","Netherlands"
"http://www.wikidata.org/entity/Q677071","France"
"http://www.wikidata.org/entity/Q724937","Netherlands"
"http://www.wikidata.org/entity/Q732618","France"
"http://www.wikidata.org/entity/Q782996","France"
"http://www.wikidata.org/entity/Q505017","Canada"
"http://www.wikidata.org/entity/Q529612","Canada"
"http://www.wikidata.org/entity/Q525646","Southern Netherlands"
"http://www.wikidata.org/entity/Q544264","Southern Netherlands"
"http://www.wikidata.org/entity/Q569598","Southern Netherlands"
"http://www.wikidata.org/entity/Q515839","United Kingdom"
"http://www.wikidata.org/entity/Q522568","United Kingdom"
"http://www.wikidata.org/entity/Q562540","United Kingdom"
"http://www.wikidata.org/entity/Q613852","United Kingdom"
"http://www.wikidata.org/entity/Q703369","United Kingdom"
"http://www.wikidata.org/entity/Q560792","Great Britain"
"http://www.wikidata.org/entity/Q561916","Great Britain"
"http://www.wikidata.org/entity/Q613852","Great Britain"
"http://www.wikidata.org/entity/Q708629","Great Britain"
"http://www.wikidata.org/entity/Q549786","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q561916","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q661176","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q708629","United Kingdom of Great Britain and Ireland"
"http://www.wikidata.org/entity/Q477373","United States of America"
"http://www.wikidata.org/entity/Q505017","United States of America"
"http://www.wikidata.org/entity/Q527001","United States of America"
"http://www.wikidata.org/entity/Q533275","United States of America"
"http://www.wikidata.org/entity/Q551899","United States of America"
"http://www.wikidata.org/entity/Q554307","United States of America"
"http://www.wikidata.org/entity/Q559312","United States of America"
"http://www.wikidata.org/entity/Q565848","United States of America"
"http://www.wikidata.org/entity/Q659858","United States of America"
"http://www.wikidata.org/entity/Q661176","United States of America"
"http://www.wikidata.org/entity/Q683378","United States of America"
"http://www.wikidata.org/entity/Q694774","United States of America"
