"item","itemLabel","itemDescription"
"http://www.wikidata.org/entity/Q215461","Hans Hofmann","German-American painter"
"http://www.wikidata.org/entity/Q5580","Albrecht Dürer","German painter, printmaker, mathematician, and theorist (1471—1528)"
"http://www.wikidata.org/entity/Q60163","Leo von Klenze","German architect and painter (1784–1864)"
"http://www.wikidata.org/entity/Q297","Diego Velázquez","Spanish painter (1599-1660)"
"http://www.wikidata.org/entity/Q5233","François-Édouard Picot","French painter (1786-1868)"
"http://www.wikidata.org/entity/Q5571","Andrea del Sarto","Italian painter (1486-1530)"
"http://www.wikidata.org/entity/Q5594","Antonello da Messina","Italian Renaissance painter (1430-1479)"
"http://www.wikidata.org/entity/Q5664","Fra Angelico","Italian Early Renaissance painter"
"http://www.wikidata.org/entity/Q5811","Masaccio","Italian painter (1401-1428)"
"http://www.wikidata.org/entity/Q7789","Ambrogio Bergognone","Italian Renaissance painter"
"http://www.wikidata.org/entity/Q8511","Lorenzo di Credi","Italian Renaissance painter and sculptor (c.1459-1537)"
"http://www.wikidata.org/entity/Q9348","Parmigianino","Italian Mannerist painter and printmaker (1503–1540)"
"http://www.wikidata.org/entity/Q15975","Montesquieu","French social commentator and political thinker (1689-1755)"
"http://www.wikidata.org/entity/Q16867","Edgar Allan Poe","American writer and literary critic (1809–1849)"
"http://www.wikidata.org/entity/Q25973","Hermann Hesse","German writer (1877–1962)"
"http://www.wikidata.org/entity/Q25942","Walther Klemm","German painter (1883-1957)"
"http://www.wikidata.org/entity/Q29473","Pietro Metastasio","Italian poet and librettist (1698–1782)"
"http://www.wikidata.org/entity/Q37562","Donatello","Early Renaissance Italian sculptor"
"http://www.wikidata.org/entity/Q44032","Egon Schiele","Austrian painter (1890-1918)"
"http://www.wikidata.org/entity/Q45006","Franz Stuck","German painter, sculptor, printmaker, and architect (1863-1928)"
"http://www.wikidata.org/entity/Q48900","Ludovico Ariosto","Italian poet"
"http://www.wikidata.org/entity/Q49752","Pierre de Ronsard","French poet (1524-1585)"
"http://www.wikidata.org/entity/Q54022","Stanisław Leszczyński","King of Poland and Grand Duke of Lithuania"
"http://www.wikidata.org/entity/Q57386","Kurt Tucholsky","Jewish-German journalist, satirist and writer"
"http://www.wikidata.org/entity/Q60809","Ansel Adams","American photographer and environmentalist (1902–1984)"
"http://www.wikidata.org/entity/Q61649","Maria Antonia Walpurgis of Bavaria","German composer, opera singer and librettist (1724-1780)"
"http://www.wikidata.org/entity/Q63206","Otto Brunfels","German botanist and theologian (1488-1534)"
"http://www.wikidata.org/entity/Q64434","Carl Ferdinand Langhans","German architect"
"http://www.wikidata.org/entity/Q90471","Johann Hieronymus Kniphof","German botanist (1704–1763)"
"http://www.wikidata.org/entity/Q151152","Juan Gris","Spanish artist (1887–1927)"
"http://www.wikidata.org/entity/Q91618","Bruno Cassirer","German publisher and art dealer (1872–1941)"
"http://www.wikidata.org/entity/Q134741","Camille Pissarro","Danish-French painter (1830—1903)"
"http://www.wikidata.org/entity/Q176694","Antonis Mor","painter from the Northern Netherlands (1519–1575)"
"http://www.wikidata.org/entity/Q148458","Jean-François Millet","French painter (1814—1875)"
"http://www.wikidata.org/entity/Q167654","Frans Hals","Dutch painter (1580—1666)"
"http://www.wikidata.org/entity/Q160149","Mark Rothko","American painter of Latvian-Jewish descent (1903–1970)"
"http://www.wikidata.org/entity/Q187506","Honoré Daumier","French artist (1808–1879)"
"http://www.wikidata.org/entity/Q223274","Frédéric Auguste Bartholdi","French sculptor and painter (1834–1904)"
"http://www.wikidata.org/entity/Q217434","Grant Wood","American painter (1891–1942)"
"http://www.wikidata.org/entity/Q262791","Steve Reich","American composer"
"http://www.wikidata.org/entity/Q259538","Edwin Austin Abbey","American illustrator and painter (1852-1911)"
"http://www.wikidata.org/entity/Q261859","Johann Wolfgang Baumgartner","German artist (1702-1761)"
"http://www.wikidata.org/entity/Q264193","Émile Bernard","French painter (1868-1941)"
"http://www.wikidata.org/entity/Q266637","Paul Sandby","British artist (1725-1809)"
"http://www.wikidata.org/entity/Q271884","Norman Rockwell","American painter and illustrator (1894–1978)"
"http://www.wikidata.org/entity/Q275610","Agnes Martin","American painter"
"http://www.wikidata.org/entity/Q276675","Jean Joseph Vadé","French chansonnier, composer and writer"
"http://www.wikidata.org/entity/Q281637","Ben Nicholson","British painter (1894-1982)"
"http://www.wikidata.org/entity/Q286685","Girolamo da Ponte","Italian painter (1566-1621)"
"http://www.wikidata.org/entity/Q289626","Étienne Dupérac","French architect, painter, engraver, garden designer (c.1525-1604)"
"http://www.wikidata.org/entity/Q289759","Étienne Jeaurat","painter (1699-1789)"
"http://www.wikidata.org/entity/Q294326","Damien Hirst","English sculptor and installation artist"
"http://www.wikidata.org/entity/Q297565","Giacomo Barozzi da Vignola","Italian architect"
"http://www.wikidata.org/entity/Q309482","Naum Gabo","Russian sculptor (1890-1977)"
"http://www.wikidata.org/entity/Q309733","Vincenzo Scamozzi","16th century Italian architect"
"http://www.wikidata.org/entity/Q310002","François Fénelon","French archbishop, theologian and writer (1651–1715)"
"http://www.wikidata.org/entity/Q312617","Rosso Fiorentino","Italian painter"
"http://www.wikidata.org/entity/Q312786","Robert Mapplethorpe","American photographer"
"http://www.wikidata.org/entity/Q314275","Quinten Metsys","Flemish painter (1466-1530)"
"http://www.wikidata.org/entity/Q318886","Eugen Napoleon Neureuther","German artist (1806-1882)"
"http://www.wikidata.org/entity/Q320821","Jack Tworkov","American artist (1900-1982)"
"http://www.wikidata.org/entity/Q322341","Pierre-Jean Mariette","French art historian"
"http://www.wikidata.org/entity/Q322030","Eugène Atget","French photographer (1857-1927)"
"http://www.wikidata.org/entity/Q323843","Cornelis Galle the Younger","Flemish printmaker"
"http://www.wikidata.org/entity/Q324096","Jacob Binck","German Renaissance painter and architect"
"http://www.wikidata.org/entity/Q324318","Joseph von Führich","Czech painter (1800-1876)"
"http://www.wikidata.org/entity/Q325945","Art Spiegelman","American cartoonist and writer (born 1948)"
"http://www.wikidata.org/entity/Q330270","Jean-Charles François","French printer and engraver"
"http://www.wikidata.org/entity/Q331047","Adolf Hirémy-Hirschl","painter (1860-1933)"
"http://www.wikidata.org/entity/Q331871","Charles-Louis Clérisseau","French architectural draughtsman, antiquary and artist (1721-1820)"
"http://www.wikidata.org/entity/Q332494","Luca Giordano","Italian Baroque painter (1634–1705)"
"http://www.wikidata.org/entity/Q334001","Thomas Cole","19th-century American painter (1801-1848)"
"http://www.wikidata.org/entity/Q334681","Gabriel François Doyen","French painter (1726-1806)"
"http://www.wikidata.org/entity/Q336028","Francesco Piranesi","Italian engraver"
"http://www.wikidata.org/entity/Q336467","Philippe Soupault","French writer (1897-1990)"
"http://www.wikidata.org/entity/Q347455","Jules Coignet","French painter (1798-1860)"
"http://www.wikidata.org/entity/Q349872","Célestin Nanteuil","French painter, engraver and illustrator (1813-1873)"
"http://www.wikidata.org/entity/Q350566","Arnaud Berquin","French children's author"
"http://www.wikidata.org/entity/Q358612","Israel Silvestre","French artist (1621-1691)"
"http://www.wikidata.org/entity/Q360466","George Cruikshank","British caricaturist and book illustrator; (1792-1878)"
"http://www.wikidata.org/entity/Q361396","Leon Kossoff","painter (1926-2019)"
"http://www.wikidata.org/entity/Q362016","Stefano di Giovanni","Italian painter (1392-1450)"
"http://www.wikidata.org/entity/Q363308","Walker Evans","American photographer and photojournalist (1903-1975)"
"http://www.wikidata.org/entity/Q364184","Adolf Schreyer","German painter (1828-1899)"
"http://www.wikidata.org/entity/Q364498","David d'Angers","French sculptor and medallist (1788-1856)"
"http://www.wikidata.org/entity/Q364658","Henry Tonks","British artist (1862-1937)"
"http://www.wikidata.org/entity/Q367973","Arman","French-born American artist (1928-2005)"
"http://www.wikidata.org/entity/Q368546","Domenico Veneziano","Italian Renaissance painter (1410-1461)"
"http://www.wikidata.org/entity/Q370567","Jan van der Heyden","Dutch painter, glass painter, draughtsman and printmaker (1637–1712)"
"http://www.wikidata.org/entity/Q379521","Ercole de' Roberti","Italian Renaissance painter (1450-1496)"
"http://www.wikidata.org/entity/Q380052","Marià Fortuny Marsal","Spanish painter (1838-1874)"
"http://www.wikidata.org/entity/Q385941","William Zorach","American artist"
"http://www.wikidata.org/entity/Q381728","George Stubbs","British painter (1724–1806)"
"http://www.wikidata.org/entity/Q379949","Tristan Bernard","French playwright"
"http://www.wikidata.org/entity/Q388090","Afro Basaldella","Italian painter (1912-1976)"
"http://www.wikidata.org/entity/Q389912","William Eggleston","American photographer"
"http://www.wikidata.org/entity/Q394503","Agnes Denes","American artist"
"http://www.wikidata.org/entity/Q391182","Charles Dufresne","French painter (1876-1938)"
"http://www.wikidata.org/entity/Q396418","Caspar Scheuren","German painter and illustrator (1810-1887)"
"http://www.wikidata.org/entity/Q406597","Hans Ulrich Franck","German painter (1590-1675)"
"http://www.wikidata.org/entity/Q432856","Saul Steinberg","American cartoonist (1914-1999)"
"http://www.wikidata.org/entity/Q438750","Magdalena van de Passe","German engraver (1600–1638)"
"http://www.wikidata.org/entity/Q440053","Philibert de l'Orme","French architect of the Renaissance."
"http://www.wikidata.org/entity/Q444567","Kay Sage","American Surrealist artist and poet (1898-1963)"
"http://www.wikidata.org/entity/Q445433","William Kent","British painter, landscape architect (1685-1748)"
"http://www.wikidata.org/entity/Q447568","Julie Mehretu","Ethiopian American painter"
"http://www.wikidata.org/entity/Q447676","Joseph Boze","French painter (1745-1826)"
"http://www.wikidata.org/entity/Q447730","Giovanni Lanfranco","Italian painter (1582-1647)"
"http://www.wikidata.org/entity/Q453808","Joan Jonas","American artist"
"http://www.wikidata.org/entity/Q451489","Antoine-Louis Barye","French sculptor"
"http://www.wikidata.org/entity/Q452318","Sebastiano Serlio","Italian architect and painter (1475-1554)"
"http://www.wikidata.org/entity/Q454650","Horst Janssen","German printmaker and draftsman (1929-1995)"
"http://www.wikidata.org/entity/Q458671","Giuseppe Castiglione","Italian monk, missionary and painter (1688-1766)"
"http://www.wikidata.org/entity/Q459681","Valie Export","Austrian media artist (born 1940)"
"http://www.wikidata.org/entity/Q460639","Augustus Washington","American photographer (1820-1875)"
"http://www.wikidata.org/entity/Q462364","Gustave Kahn","French Symbolist poet and art critic"
"http://www.wikidata.org/entity/Q462404","Fitz Henry Lane","American painter and printmaker (1804-1865)"
"http://www.wikidata.org/entity/Q463504","Matthäus Günther","German artist (1705-1788)"
