"item","detail"
"http://www.wikidata.org/entity/Q471147","accidental death"
"http://www.wikidata.org/entity/Q980087","accidental death"
"http://www.wikidata.org/entity/Q4775574","accidental death"
"http://www.wikidata.org/entity/Q379956","suicide"
"http://www.wikidata.org/entity/Q381238","suicide"
"http://www.wikidata.org/entity/Q569505","suicide"
"http://www.wikidata.org/entity/Q710427","suicide"
"http://www.wikidata.org/entity/Q1288595","suicide"
"http://www.wikidata.org/entity/Q5343869","suicide"
"http://www.wikidata.org/entity/Q108691655","natural causes"
"http://www.wikidata.org/entity/Q76718","natural causes"
"http://www.wikidata.org/entity/Q83155","natural causes"
"http://www.wikidata.org/entity/Q126506","natural causes"
"http://www.wikidata.org/entity/Q157610","natural causes"
"http://www.wikidata.org/entity/Q159409","natural causes"
"http://www.wikidata.org/entity/Q188176","natural causes"
"http://www.wikidata.org/entity/Q188965","natural causes"
"http://www.wikidata.org/entity/Q380395","natural causes"
"http://www.wikidata.org/entity/Q448845","natural causes"
"http://www.wikidata.org/entity/Q449536","natural causes"
"http://www.wikidata.org/entity/Q460922","natural causes"
"http://www.wikidata.org/entity/Q541671","natural causes"
"http://www.wikidata.org/entity/Q541831","natural causes"
"http://www.wikidata.org/entity/Q561283","natural causes"
"http://www.wikidata.org/entity/Q618237","natural causes"
"http://www.wikidata.org/entity/Q711906","natural causes"
"http://www.wikidata.org/entity/Q724860","natural causes"
"http://www.wikidata.org/entity/Q770625","natural causes"
"http://www.wikidata.org/entity/Q918620","natural causes"
"http://www.wikidata.org/entity/Q952233","natural causes"
"http://www.wikidata.org/entity/Q1115404","natural causes"
"http://www.wikidata.org/entity/Q1863438","natural causes"
"http://www.wikidata.org/entity/Q1896384","natural causes"
"http://www.wikidata.org/entity/Q2216478","natural causes"
"http://www.wikidata.org/entity/Q3592049","natural causes"
"http://www.wikidata.org/entity/Q4889934","natural causes"
"http://www.wikidata.org/entity/Q4964433","natural causes"
"http://www.wikidata.org/entity/Q5392935","natural causes"
"http://www.wikidata.org/entity/Q6525174","natural causes"
"http://www.wikidata.org/entity/Q7341977","natural causes"
"http://www.wikidata.org/entity/Q15063118","natural causes"
"http://www.wikidata.org/entity/Q22019204","natural causes"
"http://www.wikidata.org/entity/Q22235729","natural causes"
"http://www.wikidata.org/entity/Q1230528","occupational burnout"
"http://www.wikidata.org/entity/Q687","natural causes"
"http://www.wikidata.org/entity/Q1067","natural causes"
"http://www.wikidata.org/entity/Q30875","natural causes"
"http://www.wikidata.org/entity/Q33477","natural causes"
"http://www.wikidata.org/entity/Q39931","natural causes"
"http://www.wikidata.org/entity/Q62249","natural causes"
"http://www.wikidata.org/entity/Q123806","accidental death"
"http://www.wikidata.org/entity/Q153920","accidental death"
"http://www.wikidata.org/entity/Q156272","accidental death"
"http://www.wikidata.org/entity/Q380723","accidental death"
"http://www.wikidata.org/entity/Q459041","accidental death"
"http://www.wikidata.org/entity/Q726169","accidental death"
"http://www.wikidata.org/entity/Q3379002","accidental death"
"http://www.wikidata.org/entity/Q215773","suicide"
"http://www.wikidata.org/entity/Q317883","suicide"
"http://www.wikidata.org/entity/Q380723","suicide"
"http://www.wikidata.org/entity/Q572735","homicide"
"http://www.wikidata.org/entity/Q3364484","suicide"
"http://www.wikidata.org/entity/Q3741711","suicide"
"http://www.wikidata.org/entity/Q77107","natural causes"
"http://www.wikidata.org/entity/Q83158","natural causes"
"http://www.wikidata.org/entity/Q102711","natural causes"
"http://www.wikidata.org/entity/Q121903","natural causes"
"http://www.wikidata.org/entity/Q133855","natural causes"
"http://www.wikidata.org/entity/Q220074","natural causes"
"http://www.wikidata.org/entity/Q289441","natural causes"
"http://www.wikidata.org/entity/Q309635","natural causes"
"http://www.wikidata.org/entity/Q356537","natural causes"
"http://www.wikidata.org/entity/Q363823","natural causes"
"http://www.wikidata.org/entity/Q439856","natural causes"
"http://www.wikidata.org/entity/Q452321","natural causes"
"http://www.wikidata.org/entity/Q461828","natural causes"
"http://www.wikidata.org/entity/Q568262","natural causes"
"http://www.wikidata.org/entity/Q577050","natural causes"
"http://www.wikidata.org/entity/Q652723","natural causes"
"http://www.wikidata.org/entity/Q653742","natural causes"
"http://www.wikidata.org/entity/Q705163","natural causes"
"http://www.wikidata.org/entity/Q714243","natural causes"
"http://www.wikidata.org/entity/Q910885","natural causes"
"http://www.wikidata.org/entity/Q962308","natural causes"
"http://www.wikidata.org/entity/Q983573","natural causes"
"http://www.wikidata.org/entity/Q1234248","natural causes"
"http://www.wikidata.org/entity/Q1699205","natural causes"
"http://www.wikidata.org/entity/Q2038439","natural causes"
"http://www.wikidata.org/entity/Q2061583","natural causes"
"http://www.wikidata.org/entity/Q2762575","natural causes"
"http://www.wikidata.org/entity/Q2871088","natural causes"
"http://www.wikidata.org/entity/Q3056824","natural causes"
"http://www.wikidata.org/entity/Q3502230","natural causes"
"http://www.wikidata.org/entity/Q3855088","natural causes"
"http://www.wikidata.org/entity/Q5102670","natural causes"
"http://www.wikidata.org/entity/Q62091768","accidental death"
"http://www.wikidata.org/entity/Q5942577","natural causes"
"http://www.wikidata.org/entity/Q6288081","natural causes"
"http://www.wikidata.org/entity/Q6749504","natural causes"
"http://www.wikidata.org/entity/Q7409275","natural causes"
"http://www.wikidata.org/entity/Q7411777","natural causes"
"http://www.wikidata.org/entity/Q12044185","natural causes"
"http://www.wikidata.org/entity/Q13533356","natural causes"
"http://www.wikidata.org/entity/Q22001644","natural causes"
"http://www.wikidata.org/entity/Q34618","epilepsy"
"http://www.wikidata.org/entity/Q296","natural causes"
"http://www.wikidata.org/entity/Q692","natural causes"
"http://www.wikidata.org/entity/Q5589","natural causes"
"http://www.wikidata.org/entity/Q5682","natural causes"
"http://www.wikidata.org/entity/Q7738","natural causes"
"http://www.wikidata.org/entity/Q7836","natural causes"
"http://www.wikidata.org/entity/Q33978","natural causes"
"http://www.wikidata.org/entity/Q45055","natural causes"
"http://www.wikidata.org/entity/Q77717","accidental death"
"http://www.wikidata.org/entity/Q458288","accidental death"
"http://www.wikidata.org/entity/Q473798","accidental death"
"http://www.wikidata.org/entity/Q951010","accidental death"
"http://www.wikidata.org/entity/Q2581132","capital punishment"
"http://www.wikidata.org/entity/Q117489","suicide"
"http://www.wikidata.org/entity/Q229272","suicide"
"http://www.wikidata.org/entity/Q242308","suicide"
"http://www.wikidata.org/entity/Q470551","suicide"
"http://www.wikidata.org/entity/Q1452504","suicide"
"http://www.wikidata.org/entity/Q2966664","suicide"
"http://www.wikidata.org/entity/Q3440199","suicide"
"http://www.wikidata.org/entity/Q16008255","accidental death"
"http://www.wikidata.org/entity/Q21068920","suicide"
"http://www.wikidata.org/entity/Q75858","natural causes"
"http://www.wikidata.org/entity/Q102289","natural causes"
"http://www.wikidata.org/entity/Q123454","natural causes"
"http://www.wikidata.org/entity/Q152824","natural causes"
"http://www.wikidata.org/entity/Q159566","natural causes"
"http://www.wikidata.org/entity/Q159606","natural causes"
"http://www.wikidata.org/entity/Q160448","natural causes"
"http://www.wikidata.org/entity/Q191423","natural causes"
"http://www.wikidata.org/entity/Q212426","natural causes"
"http://www.wikidata.org/entity/Q215457","natural causes"
"http://www.wikidata.org/entity/Q309618","natural causes"
"http://www.wikidata.org/entity/Q317135","natural causes"
"http://www.wikidata.org/entity/Q325079","natural causes"
"http://www.wikidata.org/entity/Q374504","natural causes"
"http://www.wikidata.org/entity/Q379022","natural causes"
"http://www.wikidata.org/entity/Q451188","natural causes"
"http://www.wikidata.org/entity/Q460124","natural causes"
"http://www.wikidata.org/entity/Q695853","natural causes"
"http://www.wikidata.org/entity/Q704588","natural causes"
"http://www.wikidata.org/entity/Q718882","natural causes"
"http://www.wikidata.org/entity/Q980318","natural causes"
"http://www.wikidata.org/entity/Q1151763","natural causes"
"http://www.wikidata.org/entity/Q1387035","natural causes"
"http://www.wikidata.org/entity/Q1522057","natural causes"
"http://www.wikidata.org/entity/Q1554875","natural causes"
"http://www.wikidata.org/entity/Q2131415","natural causes"
"http://www.wikidata.org/entity/Q2703817","natural causes"
"http://www.wikidata.org/entity/Q3592147","natural causes"
"http://www.wikidata.org/entity/Q3817219","natural causes"
"http://www.wikidata.org/entity/Q4976935","natural causes"
"http://www.wikidata.org/entity/Q5372719","natural causes"
"http://www.wikidata.org/entity/Q5553319","natural causes"
"http://www.wikidata.org/entity/Q5553973","natural causes"
"http://www.wikidata.org/entity/Q6144220","natural causes"
"http://www.wikidata.org/entity/Q6383682","natural causes"
"http://www.wikidata.org/entity/Q8017370","natural causes"
"http://www.wikidata.org/entity/Q19666172","natural causes"
"http://www.wikidata.org/entity/Q21072290","natural causes"
"http://www.wikidata.org/entity/Q56033516","natural causes"
"http://www.wikidata.org/entity/Q755","natural causes"
"http://www.wikidata.org/entity/Q5603","natural causes"
"http://www.wikidata.org/entity/Q5827","natural causes"
"http://www.wikidata.org/entity/Q6711","natural causes"
"http://www.wikidata.org/entity/Q7841","natural causes"
"http://www.wikidata.org/entity/Q35548","natural causes"
"http://www.wikidata.org/entity/Q37693","natural causes"
"http://www.wikidata.org/entity/Q61073","natural causes"
"http://www.wikidata.org/entity/Q352954","accidental death"
"http://www.wikidata.org/entity/Q84761","suicide"
"http://www.wikidata.org/entity/Q551282","suicide"
"http://www.wikidata.org/entity/Q576385","suicide"
"http://www.wikidata.org/entity/Q335011","homicide"
"http://www.wikidata.org/entity/Q1693016","suicide"
"http://www.wikidata.org/entity/Q2871159","suicide"
"http://www.wikidata.org/entity/Q3512144","suicide"
"http://www.wikidata.org/entity/Q5342550","suicide"
"http://www.wikidata.org/entity/Q5606936","suicide"
"http://www.wikidata.org/entity/Q76414","natural causes"
"http://www.wikidata.org/entity/Q82445","natural causes"
"http://www.wikidata.org/entity/Q146691","natural causes"
"http://www.wikidata.org/entity/Q151836","natural causes"
"http://www.wikidata.org/entity/Q157194","natural causes"
"http://www.wikidata.org/entity/Q160141","natural causes"
"http://www.wikidata.org/entity/Q164047","natural causes"
"http://www.wikidata.org/entity/Q183221","natural causes"
"http://www.wikidata.org/entity/Q188172","natural causes"
"http://www.wikidata.org/entity/Q200798","natural causes"
"http://www.wikidata.org/entity/Q209050","natural causes"
"http://www.wikidata.org/entity/Q325185","natural causes"
"http://www.wikidata.org/entity/Q337630","natural causes"
"http://www.wikidata.org/entity/Q355406","natural causes"
"http://www.wikidata.org/entity/Q365682","natural causes"
"http://www.wikidata.org/entity/Q380275","natural causes"
"http://www.wikidata.org/entity/Q449670","natural causes"
"http://www.wikidata.org/entity/Q459937","natural causes"
"http://www.wikidata.org/entity/Q537002","natural causes"
"http://www.wikidata.org/entity/Q541859","natural causes"
"http://www.wikidata.org/entity/Q560787","natural causes"
"http://www.wikidata.org/entity/Q642513","natural causes"
"http://www.wikidata.org/entity/Q685186","natural causes"
"http://www.wikidata.org/entity/Q1693440","natural causes"
"http://www.wikidata.org/entity/Q1749032","natural causes"
"http://www.wikidata.org/entity/Q2452898","natural causes"
"http://www.wikidata.org/entity/Q2676888","natural causes"
"http://www.wikidata.org/entity/Q3047644","natural causes"
"http://www.wikidata.org/entity/Q4888341","natural causes"
"http://www.wikidata.org/entity/Q5335050","natural causes"
"http://www.wikidata.org/entity/Q6491348","natural causes"
"http://www.wikidata.org/entity/Q8008716","natural causes"
"http://www.wikidata.org/entity/Q11577112","natural causes"
"http://www.wikidata.org/entity/Q61601","accidental death"
"http://www.wikidata.org/entity/Q21498010","natural causes"
"http://www.wikidata.org/entity/Q5582","suicide"
"http://www.wikidata.org/entity/Q51729386","natural causes"
"http://www.wikidata.org/entity/Q905","natural causes"
"http://www.wikidata.org/entity/Q6682","natural causes"
"http://www.wikidata.org/entity/Q40599","natural causes"
"http://www.wikidata.org/entity/Q43444","natural causes"
"http://www.wikidata.org/entity/Q43499","natural causes"
"http://www.wikidata.org/entity/Q51107","natural causes"
"http://www.wikidata.org/entity/Q1148911","suicide"
"http://www.wikidata.org/entity/Q1387251","suicide"
"http://www.wikidata.org/entity/Q1392667","suicide"
"http://www.wikidata.org/entity/Q964822","homicide"
"http://www.wikidata.org/entity/Q3164313","suicide"
"http://www.wikidata.org/entity/Q5480742","suicide"
"http://www.wikidata.org/entity/Q17309056","accidental death"
"http://www.wikidata.org/entity/Q526470","natural causes"
"http://www.wikidata.org/entity/Q551740","natural causes"
"http://www.wikidata.org/entity/Q552667","natural causes"
"http://www.wikidata.org/entity/Q662900","natural causes"
"http://www.wikidata.org/entity/Q701952","natural causes"
"http://www.wikidata.org/entity/Q704208","natural causes"
"http://www.wikidata.org/entity/Q706886","natural causes"
"http://www.wikidata.org/entity/Q724140","natural causes"
"http://www.wikidata.org/entity/Q736843","natural causes"
"http://www.wikidata.org/entity/Q947075","natural causes"
"http://www.wikidata.org/entity/Q953717","natural causes"
"http://www.wikidata.org/entity/Q1292928","natural causes"
"http://www.wikidata.org/entity/Q2052021","natural causes"
"http://www.wikidata.org/entity/Q2053900","natural causes"
"http://www.wikidata.org/entity/Q2403504","natural causes"
"http://www.wikidata.org/entity/Q2405427","natural causes"
"http://www.wikidata.org/entity/Q2886080","natural causes"
"http://www.wikidata.org/entity/Q3101498","natural causes"
"http://www.wikidata.org/entity/Q3502694","natural causes"
"http://www.wikidata.org/entity/Q4975372","natural causes"
"http://www.wikidata.org/entity/Q5125198","natural causes"
"http://www.wikidata.org/entity/Q5531163","natural causes"
"http://www.wikidata.org/entity/Q5538104","natural causes"
"http://www.wikidata.org/entity/Q5560919","natural causes"
"http://www.wikidata.org/entity/Q5669188","natural causes"
"http://www.wikidata.org/entity/Q7341594","natural causes"
"http://www.wikidata.org/entity/Q8010768","natural causes"
"http://www.wikidata.org/entity/Q8034382","natural causes"
"http://www.wikidata.org/entity/Q2054","forced suicide"
"http://www.wikidata.org/entity/Q37571","accidental death"
"http://www.wikidata.org/entity/Q14633979","natural causes"
"http://www.wikidata.org/entity/Q16063388","natural causes"
"http://www.wikidata.org/entity/Q21929706","natural causes"
"http://www.wikidata.org/entity/Q1541","homicide"
"http://www.wikidata.org/entity/Q535","natural causes"
"http://www.wikidata.org/entity/Q742","natural causes"
"http://www.wikidata.org/entity/Q762","natural causes"
"http://www.wikidata.org/entity/Q5577","natural causes"
"http://www.wikidata.org/entity/Q5593","natural causes"
"http://www.wikidata.org/entity/Q34661","natural causes"
"http://www.wikidata.org/entity/Q38082","natural causes"
"http://www.wikidata.org/entity/Q46373","natural causes"
"http://www.wikidata.org/entity/Q57389","natural causes"
"http://www.wikidata.org/entity/Q948332","capital punishment"
"http://www.wikidata.org/entity/Q5379559","accidental death"
"http://www.wikidata.org/entity/Q165648","suicide"
"http://www.wikidata.org/entity/Q234608","suicide"
"http://www.wikidata.org/entity/Q469063","suicide"
"http://www.wikidata.org/entity/Q527599","suicide"
"http://www.wikidata.org/entity/Q629419","suicide"
"http://www.wikidata.org/entity/Q817668","suicide"
"http://www.wikidata.org/entity/Q164683","natural causes"
"http://www.wikidata.org/entity/Q168587","natural causes"
"http://www.wikidata.org/entity/Q171128","natural causes"
"http://www.wikidata.org/entity/Q175130","natural causes"
"http://www.wikidata.org/entity/Q179680","natural causes"
"http://www.wikidata.org/entity/Q180727","natural causes"
"http://www.wikidata.org/entity/Q191023","natural causes"
"http://www.wikidata.org/entity/Q213703","natural causes"
"http://www.wikidata.org/entity/Q216582","natural causes"
"http://www.wikidata.org/entity/Q216980","natural causes"
"http://www.wikidata.org/entity/Q234370","natural causes"
"http://www.wikidata.org/entity/Q280851","natural causes"
"http://www.wikidata.org/entity/Q325489","natural causes"
"http://www.wikidata.org/entity/Q372203","natural causes"
"http://www.wikidata.org/entity/Q380494","natural causes"
"http://www.wikidata.org/entity/Q428550","natural causes"
"http://www.wikidata.org/entity/Q442628","natural causes"
"http://www.wikidata.org/entity/Q458734","natural causes"
"http://www.wikidata.org/entity/Q472756","natural causes"
"http://www.wikidata.org/entity/Q544508","natural causes"
"http://www.wikidata.org/entity/Q577242","natural causes"
"http://www.wikidata.org/entity/Q586877","natural causes"
"http://www.wikidata.org/entity/Q604340","natural causes"
"http://www.wikidata.org/entity/Q736862","natural causes"
"http://www.wikidata.org/entity/Q804835","natural causes"
"http://www.wikidata.org/entity/Q942472","natural causes"
"http://www.wikidata.org/entity/Q982041","natural causes"
"http://www.wikidata.org/entity/Q1012900","natural causes"
"http://www.wikidata.org/entity/Q1342683","natural causes"
"http://www.wikidata.org/entity/Q1347418","natural causes"
"http://www.wikidata.org/entity/Q1362457","natural causes"
"http://www.wikidata.org/entity/Q1371063","natural causes"
"http://www.wikidata.org/entity/Q1906150","natural causes"
"http://www.wikidata.org/entity/Q2551765","natural causes"
"http://www.wikidata.org/entity/Q2581047","natural causes"
"http://www.wikidata.org/entity/Q2959122","natural causes"
"http://www.wikidata.org/entity/Q5539521","natural causes"
"http://www.wikidata.org/entity/Q5677520","natural causes"
"http://www.wikidata.org/entity/Q6255995","natural causes"
"http://www.wikidata.org/entity/Q7325994","natural causes"
"http://www.wikidata.org/entity/Q7789203","natural causes"
"http://www.wikidata.org/entity/Q8006794","natural causes"
"http://www.wikidata.org/entity/Q15428881","natural causes"
"http://www.wikidata.org/entity/Q17332451","natural causes"
"http://www.wikidata.org/entity/Q25906541","natural causes"
"http://www.wikidata.org/entity/Q6153595","natural causes"
"http://www.wikidata.org/entity/Q6209452","natural causes"
"http://www.wikidata.org/entity/Q6780418","natural causes"
"http://www.wikidata.org/entity/Q6989468","natural causes"
"http://www.wikidata.org/entity/Q7086910","natural causes"
"http://www.wikidata.org/entity/Q7732","capital punishment"
"http://www.wikidata.org/entity/Q18526619","natural causes"
"http://www.wikidata.org/entity/Q18636937","natural causes"
"http://www.wikidata.org/entity/Q47154","suicide"
"http://www.wikidata.org/entity/Q57386","suicide"
"http://www.wikidata.org/entity/Q57280","homicide"
"http://www.wikidata.org/entity/Q25591768","natural causes"
"http://www.wikidata.org/entity/Q25711728","natural causes"
"http://www.wikidata.org/entity/Q107647521","accidental death"
"http://www.wikidata.org/entity/Q4724","natural causes"
"http://www.wikidata.org/entity/Q5571","natural causes"
"http://www.wikidata.org/entity/Q5879","natural causes"
"http://www.wikidata.org/entity/Q7742","natural causes"
"http://www.wikidata.org/entity/Q9711","natural causes"
"http://www.wikidata.org/entity/Q25973","natural causes"
"http://www.wikidata.org/entity/Q34013","natural causes"
"http://www.wikidata.org/entity/Q44007","natural causes"
"http://www.wikidata.org/entity/Q44032","natural causes"
"http://www.wikidata.org/entity/Q47551","natural causes"
"http://www.wikidata.org/entity/Q48319","natural causes"
"http://www.wikidata.org/entity/Q164823","capital punishment"
"http://www.wikidata.org/entity/Q152797","accidental death"
"http://www.wikidata.org/entity/Q664268","accidental death"
"http://www.wikidata.org/entity/Q1288135","accidental death"
"http://www.wikidata.org/entity/Q8018669","accidental death"
"http://www.wikidata.org/entity/Q123150","suicide"
"http://www.wikidata.org/entity/Q160149","suicide"
"http://www.wikidata.org/entity/Q312617","suicide"
"http://www.wikidata.org/entity/Q365304","suicide"
"http://www.wikidata.org/entity/Q444567","suicide"
"http://www.wikidata.org/entity/Q705079","suicide"
"http://www.wikidata.org/entity/Q732468","suicide"
"http://www.wikidata.org/entity/Q1341721","homicide"
"http://www.wikidata.org/entity/Q1351330","homicide"
"http://www.wikidata.org/entity/Q1926294","suicide"
"http://www.wikidata.org/entity/Q2282231","suicide"
"http://www.wikidata.org/entity/Q3858097","suicide"
"http://www.wikidata.org/entity/Q6233387","suicide"
"http://www.wikidata.org/entity/Q16016249","accidental death"
"http://www.wikidata.org/entity/Q6873565","suicide"
"http://www.wikidata.org/entity/Q108840371","natural causes"
"http://www.wikidata.org/entity/Q112266179","natural causes"
"http://www.wikidata.org/entity/Q75698","natural causes"
"http://www.wikidata.org/entity/Q76483","natural causes"
"http://www.wikidata.org/entity/Q79759","natural causes"
"http://www.wikidata.org/entity/Q114709","natural causes"
"http://www.wikidata.org/entity/Q120993","natural causes"
"http://www.wikidata.org/entity/Q123740","natural causes"
"http://www.wikidata.org/entity/Q130777","natural causes"
"http://www.wikidata.org/entity/Q132305","natural causes"
"http://www.wikidata.org/entity/Q147144","natural causes"
"http://www.wikidata.org/entity/Q150471","natural causes"
"http://www.wikidata.org/entity/Q151803","natural causes"
"http://www.wikidata.org/entity/Q152176","natural causes"
"http://www.wikidata.org/entity/Q152233","natural causes"
"http://www.wikidata.org/entity/Q153104","natural causes"
"http://www.wikidata.org/entity/Q154260","natural causes"
"http://www.wikidata.org/entity/Q154335","natural causes"
"http://www.wikidata.org/entity/Q154340","natural causes"
"http://www.wikidata.org/entity/Q154448","natural causes"
"http://www.wikidata.org/entity/Q155626","natural causes"
"http://www.wikidata.org/entity/Q156736","natural causes"
"http://www.wikidata.org/entity/Q160422","natural causes"
"http://www.wikidata.org/entity/Q164358","natural causes"
"http://www.wikidata.org/entity/Q166585","natural causes"
"http://www.wikidata.org/entity/Q184212","natural causes"
"http://www.wikidata.org/entity/Q192720","natural causes"
"http://www.wikidata.org/entity/Q203306","natural causes"
"http://www.wikidata.org/entity/Q212476","natural causes"
"http://www.wikidata.org/entity/Q214957","natural causes"
"http://www.wikidata.org/entity/Q217434","natural causes"
"http://www.wikidata.org/entity/Q218960","natural causes"
"http://www.wikidata.org/entity/Q223274","natural causes"
"http://www.wikidata.org/entity/Q233088","natural causes"
"http://www.wikidata.org/entity/Q238364","natural causes"
"http://www.wikidata.org/entity/Q240737","natural causes"
"http://www.wikidata.org/entity/Q250293","natural causes"
"http://www.wikidata.org/entity/Q257113","natural causes"
"http://www.wikidata.org/entity/Q265131","natural causes"
